"","abundance","counts","length","countsFromAbundance","counts_normalized"
"ABCA7",12.881427,7904.8474076,5223.05150469742,"no",1.49307885906317
"ABCA8",0.021301,9.21331256,3681.37425472983,"no",0.00174022362431076
"ABCA9",0,0,2711.22222222222,"no",0
"ABCA9-AS1",0,0,523,"no",0
"ABCB1",0.032763,17.8800294666667,4645,"no",0.00337720548159345
"ABCB10",2.997851,1357.54671170667,3854.24644920645,"no",0.256415360211911
"ABCB10P1",0.003445,0.884429733333333,2185,"no",0.000167052350168996
"ABCB10P3",0.013902,3.53777112,2166,"no",0.000668219257768057
"ABCB10P4",0.010773,2.76444896,2184,"no",0.000522153064607774
"ABCB11",0,0,2724.33333333333,"no",0
"ABCB4",0,0,2264.27272727273,"no",0
"ABCB5",0,0,2554,"no",0
"ABCB6",21.033156,6052.51765909333,2449.21199652587,"no",1.14320817277388
"ABCB7",16.159729,4447.07989153333,2342.26267358815,"no",0.839970796176226
"ABCB8",18.243215,5586.23328190667,2606.22823959483,"no",1.05513571419366
"ABCB9",3.297641,1217.50504988,3142.40607664691,"no",0.229964091277809
"ABCC1",9.107874,6960.03909438667,6504.13392620495,"no",1.3146221165624
"ABCC10",9.72539,4756.59429084,4162.78384537792,"no",0.898432317613833
"ABCC11",0.017926,10.2400202666667,4862,"no",0.00193414964112259
"ABCC12",0,0,2901.21428571429,"no",0
"ABCC13",0,0,2380.75,"no",0
"ABCC2",0.650331,405.46002512,5306.50616070893,"no",0.0765838681616872
"ABCC3",5.986214,3135.72010282667,4458.40770309915,"no",0.592279287892206
"ABCC4",6.033866,4092.56712685333,5772.91148759353,"no",0.773009919271399
"ABCC5",4.259561,2777.44034190667,5549.76594419003,"no",0.524606895361827
"ABCC5-AS1",0,0,469,"no",0
"ABCC6",0.516347,117.7710066,1941.29815995832,"no",0.0222447557932603
"ABCC6P1",0.226092,36.6321792266667,1379.0186340074,"no",0.00691913828876235
"ABCC6P2",0.611524,49.30471296,686.229824176974,"no",0.00931274454481903
"ABCC8",1.299071,685.800173586666,4493.24003768847,"no",0.129534915467139
"ABCC9",0,0,4233.5,"no",0
"ABCD1",8.11243,3319.18483637333,3482.37288802492,"no",0.626932368580243
"ABCD1P2",0,0,1601,"no",0
"ABCD1P3",0,0,605,"no",0
"ABCD1P4",0,0,604,"no",0
"ABCD1P5",0,0,754,"no",0
"ABCD2",0.265062,194.266623893333,6238,"no",0.0366933571516943
"ABCD3",16.884617,6414.37336373333,3233.38780974422,"no",1.21155599465719
